"","player_name","three_pointers_made","player_name","three_pointers_missed","player_name","two_pointers_made","player_name","two_pointers_missed"
"1","stephen curry",190,"trevor ariza",281,"nikola vucevic",478,"lamarcus aldridge",535
"2","klay thompson",177,"damian lillard",280,"anthony davis",456,"blake griffin",433
"3","kyle korver",176,"wesley matthews",270,"lamarcus aldridge",448,"russell westbrook",430
"4","wesley matthews",173,"stephen curry",266,"blake griffin",439,"demarcus cousins",421
"5","james harden",155,"james harden",251,"marc gasol",403,"nikola vucevic",421
"6","damian lillard",143,"jamal crawford",230,"mnta ellis",401,"mnta ellis",420
"7","jj redick",140,"klay thompson",230,"pau gasol",398,"al jefferson",417
"8","trevor ariza",137,"lou williams",219,"lebron james",393,"pau gasol",404
"9","danny green",136,"kyle lowry",216,"al jefferson",380,"marc gasol",397
"10","kyrie irving",120,"wilson chandler",215,"al horford",378,"tyreke evans",395
"11","brandon knight",119,"ryan anderson",213,"russell westbrook",377,"rudy gay",383
"12","channing frye",115,"danny green",210,"derrick favors",369,"andrew wiggins",382
"13","jamal crawford",115,"gerald green",210,"demarcus cousins",364,"anthony davis",376
"14","kentavious caldwell-pope",115,"kentavious caldwell-pope",208,"greg monroe",350,"john wall",365
"15","gerald green",113,"trey burke",205,"tyreke evans",346,"greg monroe",362
"16","lou williams",113,"cj miles",203,"john wall",345,"markieff morris",344
"17","robert covington",113,"kevin love",195,"markieff morris",341,"zach randolph",338
"18","ryan anderson",111,"time hardaway jr",192,"andre drummond",338,"lebron james",333
"19","kevin love",110,"jj redick",189,"rudy gay",335,"james harden",329
"20","chandler parsons",107,"channing frye",184,"chris paul",328,"dwayne wade",328
"21","wilson chandler",106,"ben mclemore",183,"zach randolph",323,"carmelo anthony",327
"22","terrence ross",105,"robert covington",183,"carlos boozer",319,"andre drummond",326
"23","ben mclemore",103,"brandon knight",181,"james harden",319,"jordan hill",326
"24","patrick beverley",101,"chandler parsons",179,"kyrie irving",319,"kyrie irving",326
"25","kyle lowry",100,"derrick rose",179,"dwayne wade",316,"thaddeus young",320
"26","chris paul",97,"kyle korver",179,"andrew wiggins",314,"kobe bryant",317
"27","gordon hayward",97,"terrence ross",179,"marcin gortat",311,"brook lopez",316
"28","isaiah thomas",96,"kyrie irving",177,"tim duncan",310,"tim duncan",314
"29","trey burke",96,"patrick beverley",177,"brook lopez",307,"gordon hayward",312
"30","cj miles",95,"arron afflalo",170,"goran dragic",306,"jimmy butler",311
"31","time hardaway jr",95,"lebron james",167,"enes kanter",305,"al horford",308
"32","jason terry",94,"gordon hayward",166,"dirk nowtizski",303,"derrick favors",307
"33","greivis vasquez",93,"nicolas batum",165,"jimmy butler",302,"dirk nowtizski",305
"34","matt barnes",93,"draymond green",163,"thaddeus young",299,"michael carter-williams",305
"35","avery bradley",91,"greivis vasquez",161,"paul millsap",297,"carlos boozer",301
"36","joe johnson",91,"avery bradley",159,"gordon hayward",292,"chris paul",301
"37","paul pierce",91,"chris paul",159,"carmelo anthony",289,"ty lawson",301
"38","aaron brooks",89,"isaiah thomas",159,"eric bledsoe",285,"kyle lowry",299
"39","arron afflalo",89,"matt barnes",159,"jordan hill",284,"chris bosh",297
"40","demarre carroll",89,"mnta ellis",159,"damian lillard",283,"victor oladipo",295
"41","marcus morris",87,"joe johnson",155,"chris bosh",280,"enes kanter",293
"42","draymond green",85,"jeff green",154,"deandre jordan",280,"brandon knight",292
"43","lebron james",85,"jason terry",152,"stephen curry",280,"klay thompson",292
"44","mike conley",85,"devin harris",151,"jonas valanciunas",274,"eric bledsoe",290
"45","patrick patterson",84,"mo williams",144,"victor oladipo",274,"roy hibbert",290
"46","kyle singler",83,"oj mayo",144,"klay thompson",272,"trey burke",284
"47","nick young",83,"nick young",141,"tobias harris",271,"paul millsap",283
"48","mo williams",82,"kemba walker",140,"serge ibaka",270,"tobias harris",282
"49","devin harris",80,"paul pierce",140,"giannis antetokounmpo",264,"damian lillard",280
"50","evan fournier",80,"manu ginobili",137,"kyle lowry",264,"derrick rose",280
"51","anthony morrow",78,"brandon jennings",135,"ty lawson",264,"joe johnson",277
"52","oj mayo",77,"demarre carroll",134,"jeff teague",262,"kemba walker",277
"53","bradley beal",76,"dirk nowtizski",134,"donatas motiejunas",254,"avery bradley",271
"54","brandon jennings",76,"evan fournier",134,"kenneth faried",251,"mike conley",270
"55","serge ibaka",76,"marcus morris",133,"nene hilario",250,"serge ibaka",267
"56","courtney lee",75,"mario chalmers",133,"jared sullinger",248,"tony parker",267
"57","rasual butler",75,"eric bledsoe",132,"jarrett jack",247,"elfrid payton",264
"58","dirk nowtizski",74,"mike conley",132,"derrick rose",244,"jeff green",260
"59","manu ginobili",74,"goran dragic",131,"joe johnson",244,"jarrett jack",257
"60","goran dragic",72,"danilo gallinai",130,"marreese speights",244,"kenneth faried",256
"61","hollis thompson",72,"kobe bryant",130,"david west",241,"marcin gortat",256
"62","mnta ellis",72,"mirza teletovic",130,"mike conley",240,"david west",255
"63","derrick rose",71,"aaron brooks",129,"roy hibbert",237,"jeff teague",255
"64","khris middleton",70,"patrick patterson",129,"brandon knight",236,"reggie jackson",253
"65","jeff green",69,"reggie jackson",129,"mason plumlee",236,"gerald henderson",252
"66","wesley johnson",69,"kyle singler",125,"avery bradley",234,"giannis antetokounmpo",251
"67","eric bledsoe",67,"marcus smart",125,"jeff green",231,"jamal crawford",251
"68","harrison barnes",67,"anthony morrow",124,"timofey mozgov",231,"nerles noel",247
"69","jared dudley",67,"dante exum",124,"reggie jackson",230,"goran dragic",244
"70","nicolas batum",67,"jared sullinger",123,"tyson chandler",230,"jared sullinger",244
"71","kemba walker",66,"tyreke evans",123,"tyler zeller",229,"kevin love",243
"72","pj tucker",65,"pj tucker",122,"tony parker",225,"marreese speights",242
"73","danilo gallinai",64,"serge ibaka",122,"brandon bass",224,"rodney stuckey",242
"74","chris bosh",63,"dj augustin",121,"kevin love",222,"brandon bass",241
"75","wayne ellington",63,"nikola mirotic",120,"michael carter-williams",220,"evan turner",238
"76","mirza teletovic",62,"wesley johnson",119,"amir johnson",219,"luis scola",237
"77","nikola mirotic",62,"bojan bogdanovic",118,"luol deng",216,"bradley beal",235
"78","dj augustin",61,"john wall",117,"tristan thompson",216,"stephen curry",232
"79","marvin williams",61,"russell westbrook",117,"gerald henderson",215,"jason smith",227
"80","paul millsap",61,"carmelo anthony",116,"luis scola",215,"nene hilario",224
"81","alan anderson",60,"hollis thompson",116,"chris kaman",213,"arron afflalo",223
"82","carmelo anthony",60,"vince carter",116,"kemba walker",212,"chris kaman",221
"83","darren collison",60,"rasual butler",115,"kobe bryant",212,"donatas motiejunas",216
"84","tobias harris",60,"alan anderson",114,"ed davis",211,"deron williams",214
"85","ty lawson",60,"jeff teague",113,"rodney stuckey",209,"wilson chandler",214
"86","jimmy butler",59,"marvin williams",113,"jamal crawford",207,"jonas valanciunas",212
"87","marcus smart",59,"paul millsap",113,"arron afflalo",206,"taj gibson",212
"88","shawne williams",59,"gary neal",112,"taj gibson",206,"henry sims",205
"89","charlie villanueva",58,"chris copeland",111,"darren collison",200,"kris humphries",205
"90","luol deng",58,"solomon hill",110,"gorgui dieng",200,"gorgui dieng",203
"91","deron williams",57,"wayne ellington",110,"henry sims",200,"kentavious caldwell-pope",203
"92","jeff teague",57,"jimmy butler",109,"trey burke",198,"lance stephenson",203
"93","rudy gay",57,"ty lawson",108,"wilson chandler",198,"jrue holiday",202
"94","jose calderon",56,"caron butler",106,"nerles noel",197,"isaiah thomas",200
"95","mike scott",56,"victor oladipo",106,"chandler parsons",196,"aaron brooks",199
"96","marco belinelli",55,"bradley beal",105,"khris middleton",195,"dennis schroder",197
"97","steve blake",55,"chris bosh",105,"elfrid payton",194,"khris middleton",197
"98","jeremy lin",54,"brian roberts",104,"dwight howard",191,"luol deng",197
"99","kobe bryant",54,"kj mcdaniels",104,"jason smith",189,"jeremy lin",196
"100","victor oladipo",54,"luc mbah a moute",104,"kawhi leonard",189,"zaza pachulia",196
